Address,City,State,Zipcode,Name,Phone,URL,longitude,latitude,,
1283 E Ogden Ave #183,Naperville,IL,60563,iHealth,,,-88.12619,41.79398,,
1304-F CHESTNUT                         ,MURRAY,KY ,42071,PEACH BLOSSOM,,,-88.316774,36.6173,,
291 CONVENANT SQUARE DR STE D           ,BILOXI,MS ,39531,VITAMIN WAREHOUSE   **COD**,,,-88.977909,30.400667,,
6551 E RIVERSIDE BLVD                   ,ROCKFORD,IL ,61114,CHOICES NATURAL MARKET *INFRA*,,,-88.988252,42.317841,,
8110 BIG BEND BLVD                      ,ST LOUIS,MO ,63119,NATURAL WAY GROCERY,,,-90.33769,38.59184,,
2434 LONDON ROAD                        ,EAU CLAIRE,WI ,54701,MOTHER NATURES FDS  FF#913764,,,-91.463747,44.793153,,
111-C RENA DRIVE                        ,LAFAYETTE,LA ,70503,SANDRA'S HEALTH FOOD STORE,,,-92.05559,30.192944,,
133 S JEFFERSON                         ,AVA,MO ,65608,JEANS HEALTHWAY,,,-92.66034,36.9531,,
1344 E Battlefield,Springfield,MO,65804,Akinís Natural Foods,,http://www.akins.com/,-93.272888,37.158616,,
"4040 UNIVERSITY, STE. D                 ",DES MOINES,IA ,50311,CAMPBELL'S NUTRITION *INFRA*,,,-93.672634,41.599941,,
2749 100TH ST.                          ,URBANDALE,IA ,50322,CAMPBELL'S *INFRA*,,,-93.75566,41.61981,,
4019 W Walnut,Rogers,AR,72756,Akinís Natural Foods,,http://www.akins.com/,-94.176332,36.336312,,
14715 EDGEWOOD DR                       ,BAXTER,MN ,56425,LIFE PRESERVER NAT.(FF)  'B',,,-94.245405,46.36528,,
6821 W. 135th Street,Overland Park,KS,66223,Sprouts Farmers Market,,,-94.665842,38.881812,,
2800 E. Broadway Street,Pearland,TX,77581,Sprouts Farmers Market,,,-95.262844,29.55431,,
3704 EAST BROADWAY SUITE C              ,PEARLAND,TX ,77581,NATURAL REWARDS 'A',,,-95.28306,29.56346,,
5614 S. BROADWAY                       ,TYLER,TX ,75703,VITAMINS PLUS #284-TYLER,,,-95.30353,32.28813,,
20708 Kuykendahl Road,Spring,TX,77379,Sprouts Farmers Market,,,-95.51044,30.07132,,
22506 Tomball Parkway,Houston,TX,77070,Sprouts Farmers Market,,,-95.58768,30.011703,,
11940 Westheimer Rd,Houston,TX,77077,Sprouts Farmers Market,,,-95.58968,29.73658,,
990 Village Square Dr.,Tomball,TX,77375,Natural Health Solutions,,,-95.625406,30.0963,,
7055 Highway 6 North #A,Houston,TX,77084,Sprouts Farmers Market,,,-95.646868,29.880762,,
2913 SW 29th,Topeka,KS,66614,Akinís Natural Foods,,http://www.akins.com/,-95.71499,39.01414,,
23105 Cinco Ranch Blvd,Katy,TX,77494,Sprouts Farmers Market,,,-95.76929,29.744,,
12003 S. Memorial Drive,Bixby,OK,74008,Akinís Natural Foods,,http://www.akins.com/,-95.88649,35.98966,,
10111 S. Memorial Drive,Bixby,OK,74133,Sprouts Farmers Market,,,-95.88662,36.01633,,
7807 E 51st Street,Tulsa,OK,74145,Akinís Natural Foods,,http://www.akins.com/,-95.889855,36.091273,,
3321 E 31St Street,Tulsa,OK,74135,Akinís Natural Foods,,http://www.akins.com/,-95.938819,36.119542,,
4123 S. Harvard Avenue,Tulsa,OK,74135,Sprouts Farmers Market,,,-95.94017,36.1038,,
8409 West Center Rd,Omaha,NE,68124,Akinís Natural Foods,,http://www.akins.com/,-96.04356,41.23349,,
207 E FM-544,Murphy,TX,75094,Sprouts Farmers Market,,,-96.607972,33.013399,,
"6900 ìOî Street, Ste 100",Lincoln,NE,68510,Akinís Natural Foods,,http://www.akins.com/,-96.62654,40.81443,,
985 WEST BETHANY DR                     ,ALLEN,TX ,75013,UNITED #563 MARKET STREET,,,-96.684709,33.089941,,
6100 W ELDORADO PKWY                    ,MCKINNEY,TX ,75070,UNITED #561 MARKET STREET,,,-96.69618,33.174974,,
9241 Virginia Parkway,McKinney,TX,75090,Sprouts Farmers Market,,,-96.73281,33.20348,,
1343 W. Campbell Road,Richardson,TX,75080,Sprouts Farmers Market,,,-96.764958,32.976893,,
4100 Legacy Drive #401,Plano,TX,75204,Sprouts Farmers Market,,,-96.773338,33.06996,,
109 Broadway,Fargo,ND,58102,Swanson Health Products (Retail Store) ,701-293-9842,http://www.swansonvitamins.com/,-96.787137,46.877439,,
1929 PRESTON RD                         ,PLANO,TX ,75093,UNITED #566 MARKET STREET,,,-96.799267,33.025877,,
5190 Preston Road,Frisco,TX,75034,Sprouts Farmers Market,,,-96.802781,33.121644,,
11999 DALLAS PKWY @ ELDORADO            ,FRISCO,TX ,75034,UNITED #562 MARKET STREET,,,-96.842906,33.177026,,
11722 Marsh Lane #317,Dallas,TX,75229,Sprouts Farmers Market,,,-96.853581,32.90858,,
1745 E. Hebron Pkwy,Carrollton,TX,75010,Sprouts Farmers Market,,,-96.888564,33.025454,,
362 E. FM 1382,Cedar Hill,TX,75104,Sprouts Farmers Market,,,-96.939175,32.592554,,
700 N. DENTON TAP ROAD                  ,COPPELL,TX ,75019,UNITED #564 MARKET STREET,,,-96.992613,32.988033,,
110 W. Sandy Lake Road,Coppell,TX,75019,Sprouts Farmers Market,,,-96.994788,32.970416,,
2301 Cross Timbers #200,Flower Mound,TX,75028,Sprouts Farmers Market,,,-97.064268,33.033543,,
3800 LONG PRAIRIE RD                    ,FLOWER MOUND,TX ,75028,UNITED #565 MARKET STREET,,,-97.0696,33.03721,,
5605 COLLEYVILLE BLVD                   ,COLLEYVILLE,TX ,76034,UNITED #560 #10560,,,-97.146806,32.889385,,
608 DRY CREEK ROAD                      ,WACO,TX ,76705,HOMESTEAD HERITAGE,,,-97.15272,31.666432,,
220 Randol Mill Ave,South Lake,TX,76092,Sprouts Farmers Market,,,-97.186788,32.938698,,
2003 S. Main,Keller,TX,76248,Sprouts Farmers Market,,,-97.25807,32.89848,,
1440 Airline Rd,Corpus Christi,TX,78412,Sprouts Farmers Market,,,-97.362011,27.705258,,
4650 SW Loop 820,Fort Worth,TX,76109,Sprouts Farmers Market,,,-97.393924,32.683196,,
555 West Main St,Norman,OK,73069,Sprouts Farmers Market,,,-97.45055,35.218817,,
24 E. 2nd Street,Edmond,OK,73034,Sprouts Farmers Market,,,-97.480483,35.652345,,
2370 W. Memorial Rd.,Oklahoma City,OK,73134,Akinís Natural Foods,,http://www.akins.com/,-97.555044,35.607009,,
6410 N. May Ave,Oklahoma City,OK,73116,Sprouts Farmers Market,,,-97.564898,35.537316,,
2924 NW 63rd Street,Oklahoma City,OK,73116,Akinís Natural Foods,,http://www.akins.com/,-97.566758,35.535579,,
601 FM 1187 N SUITE 5                   ,ALEDO,TX ,76008,BULK & BUNCHES,,,-97.603237,32.703044,,
110 Interstate Hwy 35 North #299,Round Rock,TX,78681,Sprouts Farmers Market,,,-97.687195,30.508711,,
10225 Research Rd,Austin,TX,78759,Sprouts Farmers Market,,,-97.744686,30.394503,,
4006 S. Lamar Blvd,Austin,TX,78704,Sprouts Farmers Market,,,-97.793054,30.237987,,
2187 W South Loop,Stephenville,TX,76401,Barefoot Market,,,-98.22354,32.2071,,
2008 N. 10th Street,McAllen,TX,78501,Sprouts Farmers Market,,,-98.226299,26.221852,,
2502 Nacogdoches Road,San Antonio,TX,78217,Sprouts Farmers Market,,,-98.449397,29.517795,,
17700 N. US Hwy 281 #200,San Antonio,TX,78232,Sprouts Farmers Market,,,-98.469012,29.601862,,
8101 Callaghan Rd,San Antonio,TX,78230,Sprouts Farmers Market,,,-98.5512,29.51253,,
967 E MAIN                              ,EASTLAND,TX ,76448,"NATURE'S HEALTH SHOP ""B""",,,-98.80334,32.40168,,
2550 BARROW ST                          ,ABILENE,TX ,79605,VITAMINS PLUS #251-ABILENE,,,-99.75963133,32.41869541,,
110 S SPRING LAKE ST                    ,MEADE,KS ,67864,MEADE THRIFTWAY 'B',,,-100.34135,37.28436,,
2530 SOUTH GEORGIA                      ,AMARILLO,TX ,79109,UNITED #526 #10526,,,-101.868003,35.186284,,
3405 50TH ST                            ,LUBBOCK,TX ,79413,UNITED #502 #10502,,,-101.8879964,33.54863161,,
3405 50TH ST                            ,LUBBOCK,TX ,79413,UNITED #502 #10502,,,-101.889025,33.547651,,
8201 Quaker Ave #140,Lubbock,TX,79424,Sprouts Farmers Market,,,-101.90377,33.51875,,
4425 19TH ST                            ,LUBBOCK,TX ,79407,UNITED #553 MARKET STREET,,,-101.906373,33.57577,,
20831 E. Smoky Hill Rd,Centennial,CO,80015,Sprouts Farmers Market,,,-104.745374,39.608494,,
"4759 W. 29th Street, Unit B",Greeley,CO,80634,Sprouts Farmers Market,,,-104.758578,40.390683,,
9751 S. Parker Road,Parker,CO,80134,Sprouts Farmers Market,,,-104.771371,39.539095,,
1730 Dublin Blvd,Colorado Springs,CO,80918,Sprouts Farmers Market,,,-104.79513,38.926555,,
15405 E. Briarwood Circle,Aurora,CO,80016,Sprouts Farmers Market,,,-104.809066,39.593612,,
1150 S. Ironton St. Unit 130,Aurora,CO,80012,Sprouts Farmers Market,,,-104.86279,39.69514,,
5650 Allen Way,Castle Rock,CO,80108,Sprouts Farmers Market,,,-104.863326,39.415228,,
10018 Common St,Lone Tree,CO,80124,Sprouts Farmers Market,,,-104.88194,39.5345,,
8557 E. Arapahoe Road #B,Greenwood Village,CO,80112,Sprouts Farmers Market,,,-104.890977,39.596359,,
2880 S. Colorado Blvd,Denver,CO,80222,Sprouts Farmers Market,,,-104.939398,39.664218,,
1980 E. County Line Rd,Highlands Ranch,CO,80126,Sprouts Farmers Market,,,-104.963232,39.564949,,
1131 E. 120th Avenue,Thornton,CO,80233,Sprouts Farmers Market,,,-104.973378,39.916617,,
3360 Larimer St.,Denver,CO,80205,NOOCH | Vegan Market ,(720) 328-5324,https://www.facebook.com/noochveganmarket,-104.97582,39.7659,,
4345 Corbett Drive,Fort Collins,CO,80525,Sprouts Farmers Market,,,-105.02907,40.52592,,
4700 W. 38th Avenue,Denver,CO,80212,Sprouts Farmers Market,,,-105.048305,39.768943,,
5150 W. 120th Avenue,Westminster,CO,80030,Sprouts Farmers Market,,,-105.050347,39.912261,,
2601 S. Lemay Ave,Fort Collins,CO,80525,Sprouts Farmers Market,,,-105.059002,40.551333,,
7725 Wadsworth Blvd,Arvada,CO,80003,Sprouts Farmers Market,,,-105.08339,39.836424,,
8601 W. Cross Drive,Littleton,CO,80123,Sprouts Farmers Market,,,-105.092909,39.615117,,
555 W. South Boulder Rd,Lafayette,CO,80026,Sprouts Farmers Market,,,-105.096487,39.988748,,
1101 S. Hover,Longmont,CO,80501,Sprouts Farmers Market,,,-105.13086,40.14795,,
2950 Baseline Road,Boulder,CO,80303,Sprouts Farmers Market,,,-105.254414,39.999069,,
2525 Arapahoe Ave,Boulder,CO,80302,Sprouts Farmers Market,,,-105.261348,40.015656,,
199 Paseo de Peralta,Santa Fe,NM,87501,Sprouts Farmers Market,,,-105.949553,35.692529,,
3201 Zafarano Dr #20,Santa Fe,NM,87507,Sprouts Farmers Market,,,-106.013032,35.64522,,
11201 Montgomery Blvd NE,Albuquerque,NM,87111,Sprouts Farmers Market,,,-106.514716,35.131032,,
655 Sunland Park Drive #B,El Paso,TX,79912,Sprouts Farmers Market,,,-106.542912,31.819961,,
6300 San Mateo Blvd NE,Albuquerque,NM,87109,Sprouts Farmers Market,,,-106.585909,35.149712,,
5112 Lomas Blvd NE,Albuquerque,NM,87110,Sprouts Farmers Market,,,-106.587828,35.086757,,
10701 Corrales Rd NW,Albuquerque,NM,87114,Sprouts Farmers Market,,,-106.64259,35.20729,,
1450 W. Independent Ave,Grand Junction,CO,81505,Sprouts Farmers Market,,,-108.59398,39.08373,,
7877 E. Broadway Blvd,Tucson,AZ,85710,Sprouts Farmers Market,,,-110.824888,32.222468,,
5555 E. River Road,TUSCON,AZ,85750,Whole Foods Market RIVER ROAD,,http://www.wholefoodsmarket.com/,-110.87345,32.27347,,
4645 E. Speedway Blvd,Tucson,AZ,85712,Sprouts Farmers Market,,,-110.893548,32.237519,,
4282 N. 1st Avenue,Tucson,AZ,85719,Sprouts Farmers Market,,,-110.959472,32.28539,,
7665 North Oracle,Oro Valley,AZ,85704,Sprouts Farmers Market,,,-110.977925,32.3467,,
3860 West River Road,Tucson,AZ,85741,Sprouts Farmers Market,,,-111.04341,32.322154,,
1045 South University Ave,Provo,UT,84601,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,-111.65896,40.21935,,
1560 N. Riordan Ranch Rd,Flagstaff,AZ,86001,Sprouts Farmers Market,,,-111.659058,35.184854,,
1375 S. State Street,Orem,UT,84097,Sprouts Farmers Market,,,-111.682766,40.271955,,
500 S State,Orem,UT,84058,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,-111.69155,40.288159,,
5225 E. Southern Ave.,Mesa,AZ,85206,Sprouts Farmers Market,,,-111.718076,33.392245,,
2582 S. Val Vista Drive,Gilbert,AZ,85296,Sprouts Farmers Market,,,-111.757567,33.303223,,
1933 E. Brown,Mesa,AZ,85213,Sprouts Farmers Market,,,-111.789276,33.43606,,
336 West Main,American Fork,UT,84003,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,-111.807406,40.377341,,
7905 South 700 East,Sandy,UT,84070,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,-111.871296,40.607214,,
1959 West Ray Road,Chandler,AZ,85224,Sprouts Farmers Market,,,-111.875588,33.318965,,
9301 E. Shea Blvd #132,Scottsdale,AZ,85260,Sprouts Farmers Market,,,-111.880743,33.581394,,
6284 S. State Street,Murray,UT,84107,Sprouts Farmers Market,,,-111.890355,40.634425,,
1706 E. Southern Ave,Tempe,AZ,85282,Sprouts Farmers Market,,,-111.911536,33.394307,,
4402 N. Miller Road,Scottsdale,AZ,85251,Sprouts Farmers Market,,,-111.91755,33.49964,,
7111 East Mayo Blvd.,PHOENIX,AZ,85054,Whole Foods Market SCOTTSDALE,480-515-3777,http://www.wholefoodsmarket.com/,-111.927898,33.653922,,
12415 N Tatum Blvd,Phoenix,AZ,85032,Sprouts Farmers Market,,,-111.978669,33.599479,,
10810 N. Tatum Blvd.,PHOENIX,AZ,85028,Whole Foods Market PARADISE VALLEY,602-569-7600,http://www.wholefoodsmarket.com/,-111.979084,33.585014,,
4735 E. Ray Rd #100,Phoenix,AZ,85044,Sprouts Farmers Market,,,-111.98113,33.31765,,
1050 West Riverdale,Road Riverdale,UT,84405,Good Earth Natural Foods,,http://www.goodearthnaturalfoods.com/,-112.003365,41.177672,,
2824 E. Indian School Rd #126,Phoenix,AZ,85016,Sprouts Farmers Market,,,-112.019675,33.496027,,
1625 E. Glendale Ave,Phoenix,AZ,85020,Sprouts Farmers Market,,,-112.04579,33.53825,,
8040 19th Avenue,Phoenix,AZ,85021,Sprouts Farmers Market,,,-112.101083,33.554615,,
5130 W. Peoria Ave.,Glendale,AZ,85302,Sprouts Farmers Market,,,-112.170063,33.583168,,
6760 W. Deer Valley Rd,Glendale,AZ,85310,Sprouts Farmers Market,,,-112.20368,33.68192,,
8375 W. Thunderbird Road,Peoria,AZ,85381,Sprouts Farmers Market,,,-112.239046,33.60866,,
1813 N. Dysart Road,Avondale,AZ,85392,Sprouts Farmers Market,,,-112.33983,33.468512,,
13759 W. Bell Road,Surprise,AZ,85374,Sprouts Farmers Market,,,-112.35503,33.63857,,
515 North Stephanie Street,Henderson,NV,89014,Sprouts Farmers Market,,,-115.048303,36.056893,,
635 S. Green Valley Parkway,Henderson,NV,89052,Sprouts Farmers Market,,,-115.084562,36.004214,,
3365 E. Tropicana Ave,Las Vegas,NV,89121,Sprouts Farmers Market,,,-115.101808,36.099049,,
6689 Las VEGAS BLVD. South,LAS VEGAS,NV,89119,Whole Foods Market VEGAS BLVD,702-5897-711,http://www.wholefoodsmarket.com/,-115.17425,36.06762,,
4020 S. Rainbow Blvd,Las Vegas,NV,89103,Sprouts Farmers Market,,,-115.241327,36.115275,,
7250 W. Lake Mead Blvd.,TENAYA,NV,89128,Whole Foods Market TENAYA VEGAS,702-942-1500,http://www.wholefoodsmarket.com/,-115.250049,36.197631,,
"10000 W. Sahara Ave, Suite 180",Las Vegas,NV,89117,Sprouts Farmers Market,,,-115.31285,36.14449,,
79050 Hwy 111,La Quinta,CA,92253,Sprouts Farmers Market,,,-116.28525,33.70924,,
152 N. 2nd Street,El Cajon,CA,92021,Sprouts Farmers Market,,,-116.936471,32.795883,,
878 Eastlake Parkway,Chula Vista,CA,91914,Sprouts Farmers Market,(619) 421-2099,http://sproutschulavista.com/,-116.970596,32.651813,,
1295 S. State Street,Hemet,CA,92543,Sprouts Farmers Market,,,-116.972137,33.727893,,
9361 Mission Gorge Rd,Santee,CA,92071,Sprouts Farmers Market,,,-116.993423,32.837417,,
4630 Palm Ave,La Mesa,CA,91941,Sprouts Farmers Market,,,-117.01866,32.762835,,
3205 Lemon Grove Ave,Lemon Grove,CA,91945,Sprouts Farmers Market,,,-117.029875,32.740675,,
13536 Poway Rd,Poway,CA,92064,Sprouts Farmers Market,,,-117.037461,32.957219,,
15727 Bernardo Heights Pkwy,Rancho Bernardo,CA,92128,Sprouts Farmers Market,,,-117.058434,33.003563,,
